DATAFLOW,LAST UPDATE,freq,unit,accident,geo,TIME_PERIOD,OBS_VALUE
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,EE,2021,10
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,EL,2006,70
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,EL,2007,53
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,EL,2008,40
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,EL,2009,42
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,EL,2010,39
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,EL,2011,24
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,EL,2012,18
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,EL,2013,14
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,EL,2014,23
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,EL,2015,25
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,EL,2016,13
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,EL,2017,22
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,EL,2018,24
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,EL,2019,18
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,EL,2020,9
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,EL,2021,14
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,ESP,2006,77
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,ESP,2007,98
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,ESP,2008,80
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,ESP,2009,51
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,ESP,2010,45
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,ESP,2011,42
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,ESP,2012,51
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,ESP,2013,52
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,ESP,2014,51
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,ESP,2015,42
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,ESP,2016,45
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,ESP,2017,52
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,ESP,2018,47
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,ESP,2019,49
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,ESP,2020,51
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,ESP,2021,52
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,EU27_2020,2010,2229
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,EU27_2020,2011,2144
