LOCATION,INDICATOR,TIME,Value
ESP,INFRAINVEST,2020,2380557000
ESP,INFRAINVEST,2021,2519000000
SWE,INFRAINVEST,1995,1141240880
SWE,INFRAINVEST,1996,1048663629
SWE,INFRAINVEST,1997,701081430.8
SWE,INFRAINVEST,1998,763652691.2
SWE,INFRAINVEST,1999,682390865.1
SWE,INFRAINVEST,2000,589990409.5
SWE,INFRAINVEST,2001,556846051.6
SWE,INFRAINVEST,2002,666120755.5
SWE,INFRAINVEST,2003,652316864.7
SWE,INFRAINVEST,2004,1093632877
SWE,INFRAINVEST,2005,1301085118
SWE,INFRAINVEST,2006,1250526839
SWE,INFRAINVEST,2007,1445790685
SWE,INFRAINVEST,2008,1536170699
SWE,INFRAINVEST,2009,1527973180
SWE,INFRAINVEST,2010,1655636908
SWE,INFRAINVEST,2011,1588351278
SWE,INFRAINVEST,2012,1570135643
SWE,INFRAINVEST,2013,1389931218
SWE,INFRAINVEST,2014,1480713210
SWE,INFRAINVEST,2015,1630006949
SWE,INFRAINVEST,2016,1501653058
SWE,INFRAINVEST,2017,1524982100
SWE,INFRAINVEST,2018,1424327513
SWE,INFRAINVEST,2019,1691537495
SWE,INFRAINVEST,2020,2080691450
SWE,INFRAINVEST,2021,2269044239
CHE,INFRAINVEST,1995,1079262375
CHE,INFRAINVEST,1996,1170131361
CHE,INFRAINVEST,1997,1231527094
CHE,INFRAINVEST,1998,1290302694
CHE,INFRAINVEST,1999,1342789303
CHE,INFRAINVEST,2000,1463054503
CHE,INFRAINVEST,2001,1643935381
CHE,INFRAINVEST,2002,2011995638
CHE,INFRAINVEST,2003,2004340107
CHE,INFRAINVEST,2004,2115795609
CHE,INFRAINVEST,2005,2191435768
CHE,INFRAINVEST,2006,2350772360
CHE,INFRAINVEST,2007,2329092348
CHE,INFRAINVEST,2008,2622393044
CHE,INFRAINVEST,2009,2888270746
CHE,INFRAINVEST,2010,3032122703
CHE,INFRAINVEST,2011,3410048622
CHE,INFRAINVEST,2012,3463867917
CHE,INFRAINVEST,2013,3665610529
CHE,INFRAINVEST,2014,3550139964
CHE,INFRAINVEST,2015,4193518172
CHE,INFRAINVEST,2016,3835993396
CHE,INFRAINVEST,2017,3120726880
CHE,INFRAINVEST,2018,3078188588
CHE,INFRAINVEST,2019,3434888110
CHE,INFRAINVEST,2020,3797066243
CHE,INFRAINVEST,2021,3666955699
TUR,INFRAINVEST,1995,45569983.31
TUR,INFRAINVEST,1996,48760639.53
